Data As Of,Start Week,End Week,MMWRyear,MMWRweek,Week Ending Date,Group,Indicator,Jurisdiction,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths,Pneumonia or Influenza,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Tennessee,All Ages,0,1382,104,15,119,119,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Tennessee,0-17 years,0,21,0,0,0,0,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Tennessee,18-64 years,0,417,29,,36,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Tennessee,65 years and over,0,944,75,,83,83,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Texas,All Ages,0,4292,293,44,337,337,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Texas,0-17 years,0,70,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Texas,18-64 years,0,1200,78,20,98,98,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Texas,65 years and over,0,3022,214,23,237,237,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Utah,All Ages,0,405,12,,17,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Utah,0-17 years,0,11,0,0,0,0,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Utah,18-64 years,0,90,0,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Utah,65 years and over,0,304,12,,15,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Vermont,All Ages,0,132,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Vermont,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Vermont,18-64 years,0,23,0,0,0,0,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Vermont,65 years and over,0,108,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Virginia,All Ages,0,1403,59,10,69,69,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Virginia,0-17 years,0,18,0,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Virginia,18-64 years,0,337,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Virginia,65 years and over,0,1048,55,,63,63,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Washington,All Ages,0,1187,87,11,98,98,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Washington,0-17 years,0,20,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Washington,18-64 years,0,273,21,,24,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Washington,65 years and over,0,894,64,,72,72,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,West Virginia,All Ages,0,486,36,,44,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,West Virginia,0-17 years,0,10,0,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,West Virginia,18-64 years,0,118,,,11,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,West Virginia,65 years and over,0,358,28,,32,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Wisconsin,All Ages,0,1130,77,11,88,88,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Wisconsin,0-17 years,0,13,0,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Wisconsin,18-64 years,0,232,13,,17,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Wisconsin,65 years and over,0,885,64,,69,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Wyoming,All Ages,0,90,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Wyoming,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Wyoming,18-64 years,0,23,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,Wyoming,65 years and over,0,65,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 1,All Ages,0,2768,175,37,212,212,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 1,0-17 years,0,23,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 1,18-64 years,0,559,25,,32,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 1,65 years and over,0,2186,149,29,178,178,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 2,All Ages,0,4696,337,38,375,375,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 2,0-17 years,0,47,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 2,18-64 years,0,992,56,11,67,67,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 2,65 years and over,0,3657,280,24,304,304,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 3,All Ages,0,6003,355,55,410,410,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 3,0-17 years,0,53,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 3,18-64 years,0,1397,58,19,77,77,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 3,65 years and over,0,4553,296,33,329,329,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 4,All Ages,0,13162,878,118,996,996,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 4,0-17 years,0,169,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 4,18-64 years,0,3410,203,52,255,255,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 4,65 years and over,0,9583,672,62,734,734,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 5,All Ages,0,10288,620,82,702,702,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 5,0-17 years,0,96,0,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 5,18-64 years,0,2351,115,23,138,138,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 5,65 years and over,0,7841,505,53,558,558,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 6,All Ages,0,7158,492,69,561,561,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 6,0-17 years,0,119,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 6,18-64 years,0,1938,130,32,162,162,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 6,65 years and over,0,5101,361,35,396,396,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 7,All Ages,0,2837,173,26,199,199,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 7,0-17 years,0,24,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 7,18-64 years,0,695,33,,40,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 7,65 years and over,0,2118,139,19,158,158,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 8,All Ages,0,1809,93,21,114,114,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 8,0-17 years,0,33,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 8,18-64 years,0,458,22,,29,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 8,65 years and over,0,1318,69,13,82,82,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 9,All Ages,0,7627,574,100,674,674,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 9,0-17 years,0,81,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 9,18-64 years,0,1797,99,34,133,133,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 9,65 years and over,0,5749,473,62,535,535,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 10,All Ages,0,2335,138,14,152,152,
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 10,0-17 years,0,28,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 10,18-64 years,0,521,32,,38,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/09/2020,02/15/2020,2020,7,02/15/2020,By Week,Week-ending,HHS Region 10,65 years and over,0,1786,104,,112,112,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,United States,All Ages,5,58748,3707,566,4273,4276,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,United States,0-17 years,0,647,19,13,32,32,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,United States,18-64 years,2,14158,724,186,910,911,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,United States,65 years and over,3,43943,2964,367,3331,3333,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Alabama,All Ages,0,1117,75,,80,80,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Alabama,0-17 years,0,17,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Alabama,18-64 years,0,335,23,,26,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Alabama,65 years and over,0,765,51,,52,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Alaska,All Ages,0,89,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Alaska,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Alaska,18-64 years,0,26,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Alaska,65 years and over,0,58,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Arizona,All Ages,0,1285,78,11,89,89,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Arizona,0-17 years,0,19,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Arizona,18-64 years,0,288,11,,15,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Arizona,65 years and over,0,978,66,,72,72,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Arkansas,All Ages,0,698,54,11,65,65,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Arkansas,0-17 years,0,10,0,0,0,0,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Arkansas,18-64 years,0,180,13,,20,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Arkansas,65 years and over,0,508,41,,45,45,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,California,All Ages,,5760,462,71,533,534,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,California,0-17 years,0,60,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,California,18-64 years,0,1407,91,26,117,117,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,California,65 years and over,,4293,369,44,413,414,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Colorado,All Ages,0,871,45,,48,48,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Colorado,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Colorado,18-64 years,0,217,11,,12,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Colorado,65 years and over,0,648,34,,36,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Connecticut,All Ages,0,651,35,11,46,46,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Connecticut,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Connecticut,18-64 years,0,127,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Connecticut,65 years and over,0,520,32,,41,41,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Delaware,All Ages,0,191,11,,12,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Delaware,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Delaware,18-64 years,0,50,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Delaware,65 years and over,0,140,,,10,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,District of Columbia,All Ages,0,97,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,District of Columbia,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,District of Columbia,18-64 years,0,36,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,District of Columbia,65 years and over,0,59,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Florida,All Ages,0,4261,262,31,293,293,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Florida,0-17 years,0,37,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Florida,18-64 years,0,985,45,11,56,56,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Florida,65 years and over,0,3239,215,20,235,235,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Georgia,All Ages,0,1734,80,20,100,100,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Georgia,0-17 years,0,34,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Georgia,18-64 years,0,472,25,,33,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Georgia,65 years and over,0,1228,54,11,65,65,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Hawaii,All Ages,0,244,17,,18,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Hawaii,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Hawaii,18-64 years,0,47,0,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Hawaii,65 years and over,0,196,17,0,17,17,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Idaho,All Ages,0,323,18,,22,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Idaho,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Idaho,18-64 years,0,65,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Idaho,65 years and over,0,251,14,,16,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Illinois,All Ages,0,2291,148,15,163,163,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Illinois,0-17 years,0,18,0,0,0,0,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Illinois,18-64 years,0,528,24,,27,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Illinois,65 years and over,0,1745,124,12,136,136,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Indiana,All Ages,0,1387,104,12,116,116,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Indiana,0-17 years,0,20,0,0,0,0,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Indiana,18-64 years,0,340,23,,29,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Indiana,65 years and over,0,1027,81,,87,87,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Iowa,All Ages,0,657,47,,53,53,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Iowa,0-17 years,0,11,0,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Iowa,18-64 years,0,127,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Iowa,65 years and over,0,519,41,,44,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Kansas,All Ages,0,585,40,10,50,50,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Kansas,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Kansas,18-64 years,0,137,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Kansas,65 years and over,0,442,38,,46,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Kentucky,All Ages,0,999,83,,89,89,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Kentucky,0-17 years,0,11,0,0,0,0,
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Kentucky,18-64 years,0,302,18,,19,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/29/2021,02/16/2020,02/22/2020,2020,8,02/22/2020,By Week,Week-ending,Kentucky,65 years and over,0,686,65,,70,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
